monthnum,month,desk,groupname,contact_type,location,ctr
2015 Jun,06012015,baseservices,IT Active Directory L2,Chat,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,baseservices,IT Active Directory L2,Email,NNA/Corp - Atlanta HQ,3
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NA - Changzhou Site Office,6
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NA - Klang Malaysia,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NA - Ulsan,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Bresso,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Goettingen,2
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Nachterstedt,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Ohle,11
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NE - Pieve,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NNA - Kennesaw R&T,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NNA - Kingston,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NNA - Oswego,5
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NNA/Corp - Atlanta HQ,40
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NSA - Pinda,2
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NSA - Sao Paulo,2
2015 Jun,06012015,baseservices,IT Active Directory L2,Phone,NSA - Utinga,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NA - Changzhou Site Office,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NA - Seoul,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NA - Ulsan,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NE - Goettingen,4
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NE - Ohle,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NNA - Fairmont,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NNA - Greensboro,2
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NNA - Oswego,10
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NNA/Corp - Atlanta HQ,17
2015 Jun,06012015,baseservices,IT Active Directory L2,Self-service,NSA - Pinda,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Walk-in,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,baseservices,IT Active Directory L2,Walk-in,NSA - Utinga,1
2015 Jun,06012015,baseservices,IT FIM AD Request Service Desk L2,Phone,NNA/Corp - Atlanta HQ,3
2015 Jun,06012015,baseservices,IT FIM AD Request Service Desk L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,baseservices,IT FIM L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,baseservices,IT FIM L3,Phone,NNA - Oswego,1
2015 Jun,06012015,baseservices,IT FIM L3,Phone,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,baseservices,IT Messaging L2,Chat,NA - Seoul,1
2015 Jun,06012015,baseservices,IT Messaging L2,Chat,NNA - Oswego,1
2015 Jun,06012015,baseservices,IT Messaging L2,Chat,NNA - Terre Haute,1
2015 Jun,06012015,baseservices,IT Messaging L2,Chat,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,baseservices,IT Messaging L2,Email,NE - Nachterstedt,1
2015 Jun,06012015,baseservices,IT Messaging L2,Email,NNA - Oswego,1
2015 Jun,06012015,baseservices,IT Messaging L2,Email,NNA/Corp - Atlanta HQ,3
2015 Jun,06012015,baseservices,IT Messaging L2,Email,NSA - Pinda,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - Changzhou Site Office,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - Seoul,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - Shanghai,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - Ulsan,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NA - YeongJu,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Bresso,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Goettingen,6
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Luedenscheid,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Nachterstedt,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Ohle,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Pieve,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Sierre,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NE - Zurich,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Berea,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Greensboro,3
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Kennesaw R&T,6
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Kingston,3
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Novi,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Oswego,15
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA - Warren,1
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NNA/Corp - Atlanta HQ,40
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NSA - Pinda,46
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NSA - Sao Paulo,2
2015 Jun,06012015,baseservices,IT Messaging L2,Phone,NSA - Utinga,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NA - Seoul,4
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NA - Shanghai,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NA - Ulsan,2
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Bresso,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Goettingen,2
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Ohle,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Sierre,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NE - Zurich,4
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA - Greensboro,2
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA - Kennesaw R&T,4
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA - Kingston,1
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA - Oswego,3
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NNA/Corp - Atlanta HQ,36
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NSA - Pinda,3
2015 Jun,06012015,baseservices,IT Messaging L2,Self-service,NSA - Sao Paulo,1
2015 Jun,06012015,baseservices,IT Messaging L2,Walk-in,NA - Klang Malaysia,2
2015 Jun,06012015,baseservices,IT Messaging L2,Walk-in,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,baseservices,IT Messaging L2,Walk-in,NSA - Pinda,1
2015 Jun,06012015,baseservices,IT Messaging L2,Walk-in,NSA - Sao Paulo,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NA - Ulsan,9
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NA - YeongJu,4
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NE - Goettingen,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NE - Sierre,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NE - Zurich,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NNA - Berea,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NNA - Greensboro,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NNA - Kingston,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NNA - Terre Haute,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NNA - Warren,1
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NNA/Corp - Atlanta HQ,6
2015 Jun,06012015,baseservices,IT SCCM L2,Phone,NSA - Pinda,3
2015 Jun,06012015,baseservices,IT SCCM L2,Self-service,NA - Shanghai,2
2015 Jun,06012015,baseservices,IT SCCM L2,Self-service,NE - Zurich,1
2015 Jun,06012015,baseservices,IT SCCM L2,Self-service,NNA/Corp - Atlanta HQ,6
2015 Jun,06012015,baseservices,IT SCCM L2,Self-service,NSA - Sao Paulo,1
2015 Jun,06012015,baseservices,IT Security L2,Phone,NA - Changzhou Site Office,1
2015 Jun,06012015,baseservices,IT Security L2,Phone,NE - Nachterstedt,1
2015 Jun,06012015,baseservices,IT Security L2,Phone,NE - Ohle,1
2015 Jun,06012015,baseservices,IT Security L2,Phone,NE - Zurich,1
2015 Jun,06012015,baseservices,IT Security L2,Phone,NNA - Greensboro,1
2015 Jun,06012015,baseservices,IT Security L2,Phone,NNA - Kennesaw R&T,1
2015 Jun,06012015,baseservices,IT Security L2,Phone,NNA/Corp - Atlanta HQ,15
2015 Jun,06012015,baseservices,IT Security L2,Phone,NSA - Pinda,2
2015 Jun,06012015,baseservices,IT Security L2,Self-service,NA - Seoul,1
2015 Jun,06012015,baseservices,IT Security L2,Self-service,NNA - Kingston,1
2015 Jun,06012015,baseservices,IT Security L2,Self-service,NNA - Novi,1
2015 Jun,06012015,baseservices,IT Security L2,Self-service,NNA/Corp - Atlanta HQ,5
2015 Jun,06012015,baseservices,IT Security NEW VPN Access Request L2,Phone,NE - Nachterstedt,2
2015 Jun,06012015,deskside,IT Desktop Atlanta L2,Chat,NNA/Corp - Atlanta HQ,3
2015 Jun,06012015,deskside,IT Desktop Atlanta L2,Email,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Atlanta L2,Phone,NNA - Kennesaw R&T,1
2015 Jun,06012015,deskside,IT Desktop Atlanta L2,Phone,NNA/Corp - Atlanta HQ,79
2015 Jun,06012015,deskside,IT Desktop Atlanta L2,Self-service,NNA - Kennesaw R&T,1
2015 Jun,06012015,deskside,IT Desktop Atlanta L2,Self-service,NNA/Corp - Atlanta HQ,44
2015 Jun,06012015,deskside,IT Desktop Atlanta L2,Self-service,NSA - Sao Paulo,1
2015 Jun,06012015,deskside,IT Desktop China L2,Email,NA - Shanghai,2
2015 Jun,06012015,deskside,IT Desktop China L2,Email,NNA - Kennesaw R&T,1
2015 Jun,06012015,deskside,IT Desktop China L2,Email,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop China L2,Phone,NA - Changzhou Site Office,12
2015 Jun,06012015,deskside,IT Desktop China L2,Phone,NA - Shanghai,10
2015 Jun,06012015,deskside,IT Desktop China L2,Phone,NNA - Novi,1
2015 Jun,06012015,deskside,IT Desktop China L2,Phone,NNA/Corp - Atlanta HQ,7
2015 Jun,06012015,deskside,IT Desktop China L2,Self-service,NA - Changzhou Site Office,3
2015 Jun,06012015,deskside,IT Desktop China L2,Self-service,NA - Shanghai,1
2015 Jun,06012015,deskside,IT Desktop China L2,Walk-in,NA - Changzhou Site Office,5
2015 Jun,06012015,deskside,IT Desktop China L2,Walk-in,NA - Seoul,2
2015 Jun,06012015,deskside,IT Desktop China L2,Walk-in,NA - Shanghai,9
2015 Jun,06012015,deskside,IT Desktop China L2,Walk-in,NNA - Kingston,1
2015 Jun,06012015,deskside,IT Desktop China L2,Walk-in,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,deskside,IT Desktop Dispatch NA L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NE L2,Chat,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NE L2,Phone,NE - Latchford,2
2015 Jun,06012015,deskside,IT Desktop Dispatch NE L2,Phone,NE - Zurich,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NE L2,Phone,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,deskside,IT Desktop Dispatch NE L2,Self-service,NE - Latchford,5
2015 Jun,06012015,deskside,IT Desktop Dispatch NE L2,Self-service,NE - Nachterstedt,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NE L2,Self-service,NE - Voreppe,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NE L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NNA L2,Phone,NNA - Berea,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NNA L2,Phone,NNA - Novi,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NNA L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NNA L2,Self-service,NNA - Fairmont,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NSA L2,Phone,NSA - Pinda,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NSA L2,Self-service,NSA - Pinda,1
2015 Jun,06012015,deskside,IT Desktop Dispatch NSA L2,Walk-in,NSA - Pinda,1
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Email,NE - Goettingen,3
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Email,NE - Ohle,6
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Phone,NE - Goettingen,36
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Phone,NE - Nachterstedt,1
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Phone,NE - Ohle,1
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Phone,NE - Zurich,1
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Phone,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Self-service,NE - Goettingen,14
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Gottingen L2,Walk-in,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Italy L2,Phone,NE - Bresso,12
2015 Jun,06012015,deskside,IT Desktop Italy L2,Phone,NE - Pieve,3
2015 Jun,06012015,deskside,IT Desktop Kennesaw L2,Phone,NNA - Kennesaw R&T,5
2015 Jun,06012015,deskside,IT Desktop Kennesaw L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Kennesaw L2,Phone,NSA - Pinda,1
2015 Jun,06012015,deskside,IT Desktop Kennesaw L2,Self-service,NNA - Kennesaw R&T,15
2015 Jun,06012015,deskside,IT Desktop Kingston L2,Phone,NNA - Kingston,7
2015 Jun,06012015,deskside,IT Desktop Kingston L2,Phone,NNA/Corp - Atlanta HQ,5
2015 Jun,06012015,deskside,IT Desktop Kingston L2,Self-service,NNA - Kingston,38
2015 Jun,06012015,deskside,IT Desktop Kingston L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Latchford L2,Email,NE - Latchford,1
2015 Jun,06012015,deskside,IT Desktop Latchford L2,Email,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Latchford L2,Phone,NE - Latchford,7
2015 Jun,06012015,deskside,IT Desktop Latchford L2,Self-service,NE - Latchford,1
2015 Jun,06012015,deskside,IT Desktop Latchford L2,Walk-in,NE - Latchford,9
2015 Jun,06012015,deskside,IT Desktop Latchford L2,Walk-in,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Malaysia L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Malaysia L2,Self-service,NA - Klang Malaysia,18
2015 Jun,06012015,deskside,IT Desktop Malaysia L2,Self-service,NNA/Corp - Atlanta HQ,6
2015 Jun,06012015,deskside,IT Desktop Malaysia L2,Walk-in,NA - Klang Malaysia,7
2015 Jun,06012015,deskside,IT Desktop Malaysia L2,Walk-in,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,deskside,IT Desktop Nachterstedt L2,Email,NE - Nachterstedt,1
2015 Jun,06012015,deskside,IT Desktop Nachterstedt L2,Phone,NE - Nachterstedt,12
2015 Jun,06012015,deskside,IT Desktop Nachterstedt L2,Phone,NE - Ohle,1
2015 Jun,06012015,deskside,IT Desktop Nachterstedt L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Nachterstedt L2,Self-service,NE - Nachterstedt,9
2015 Jun,06012015,deskside,IT Desktop Nachterstedt L2,Walk-in,NE - Nachterstedt,4
2015 Jun,06012015,deskside,IT Desktop Nachterstedt L2,Walk-in,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Ohle L2,Chat,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Ohle L2,Phone,NE - Ohle,28
2015 Jun,06012015,deskside,IT Desktop Ohle L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Ohle L2,Self-service,NE - Goettingen,1
2015 Jun,06012015,deskside,IT Desktop Ohle L2,Self-service,NE - Luedenscheid,5
2015 Jun,06012015,deskside,IT Desktop Ohle L2,Self-service,NE - Nachterstedt,3
2015 Jun,06012015,deskside,IT Desktop Ohle L2,Self-service,NE - Ohle,16
2015 Jun,06012015,deskside,IT Desktop Ohle L2,Self-service,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Chat,NNA - Kingston,1
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Chat,NNA - Oswego,2
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Phone,NNA - Kennesaw R&T,1
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Phone,NNA - Oswego,29
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Phone,NNA - Warren,1
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Phone,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Self-service,NNA - Kennesaw R&T,1
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Self-service,NNA - Kingston,1
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Self-service,NNA - Oswego,42
2015 Jun,06012015,deskside,IT Desktop Oswego L2,Self-service,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Phone,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Phone,NSA - Ouro Preto,1
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Phone,NSA - Pinda,99
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Phone,NSA - Sao Paulo,3
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Self-service,NSA - Pinda,28
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Self-service,NSA - Utinga,1
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Walk-in,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Walk-in,NSA - Pinda,66
2015 Jun,06012015,deskside,IT Desktop Pinda L2,Walk-in,NSA - Sao Paulo,1
2015 Jun,06012015,deskside,IT Desktop Sao Paulo L2,Phone,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,deskside,IT Desktop Sao Paulo L2,Phone,NSA - Pinda,2
2015 Jun,06012015,deskside,IT Desktop Sao Paulo L2,Phone,NSA - Sao Paulo,63
2015 Jun,06012015,deskside,IT Desktop Sao Paulo L2,Self-service,NSA - Sao Paulo,3
2015 Jun,06012015,deskside,IT Desktop Sao Paulo L2,Walk-in,NSA - Sao Paulo,4
2015 Jun,06012015,deskside,IT Desktop Seoul L2,Phone,NA - Seoul,1
2015 Jun,06012015,deskside,IT Desktop Seoul L2,Phone,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,deskside,IT Desktop Seoul L2,Self-service,NA - Seoul,2
2015 Jun,06012015,deskside,IT Desktop Seoul L2,Walk-in,NA - Seoul,1
2015 Jun,06012015,deskside,IT Desktop Sierre L2,Phone,NE - Sierre,20
2015 Jun,06012015,deskside,IT Desktop Sierre L2,Phone,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,deskside,IT Desktop Sierre L2,Self-service,NA - Shanghai,1
2015 Jun,06012015,deskside,IT Desktop Sierre L2,Self-service,NE - Sierre,11
2015 Jun,06012015,deskside,IT Desktop Sierre L2,Walk-in,NE - Sierre,1
2015 Jun,06012015,deskside,IT Desktop Ulsan L2,Email,NA - Ulsan,3
2015 Jun,06012015,deskside,IT Desktop Ulsan L2,Phone,NA - Seoul,1
2015 Jun,06012015,deskside,IT Desktop Ulsan L2,Phone,NA - Ulsan,35
2015 Jun,06012015,deskside,IT Desktop Ulsan L2,Phone,NA - YeongJu,1
2015 Jun,06012015,deskside,IT Desktop Ulsan L2,Phone,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,deskside,IT Desktop Ulsan L2,Self-service,NA - Ulsan,3
2015 Jun,06012015,deskside,IT Desktop Ulsan L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,deskside,IT Desktop Ulsan L2,Walk-in,NA - Ulsan,2
2015 Jun,06012015,deskside,IT Desktop Utinga L2,Chat,NSA - Utinga,1
2015 Jun,06012015,deskside,IT Desktop Utinga L2,Phone,NSA - Sao Paulo,1
2015 Jun,06012015,deskside,IT Desktop Utinga L2,Phone,NSA - Utinga,5
2015 Jun,06012015,deskside,IT Desktop Utinga L2,Self-service,NSA - Pinda,1
2015 Jun,06012015,deskside,IT Desktop Utinga L2,Self-service,NSA - Sao Paulo,1
2015 Jun,06012015,deskside,IT Desktop Utinga L2,Self-service,NSA - Utinga,11
2015 Jun,06012015,deskside,IT Desktop Utinga L2,Walk-in,NSA - Utinga,7
2015 Jun,06012015,deskside,IT Desktop YeongJu L2,Email,NA - YeongJu,1
2015 Jun,06012015,deskside,IT Desktop YeongJu L2,Phone,NA - YeongJu,8
2015 Jun,06012015,deskside,IT Desktop YeongJu L2,Phone,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,deskside,IT Desktop YeongJu L2,Walk-in,NA - Ulsan,1
2015 Jun,06012015,deskside,IT Desktop YeongJu L2,Walk-in,NA - YeongJu,12
2015 Jun,06012015,deskside,IT Desktop Zurich L2,Chat,NE - Zurich,1
2015 Jun,06012015,deskside,IT Desktop Zurich L2,Phone,NE - Latchford,1
2015 Jun,06012015,deskside,IT Desktop Zurich L2,Phone,NE - Zurich,9
2015 Jun,06012015,deskside,IT Desktop Zurich L2,Phone,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,deskside,IT Desktop Zurich L2,Self-service,NE - Zurich,20
2015 Jun,06012015,others,IT App Accenture L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT App Global Cap Package L2,Phone,NE - Bresso,1
2015 Jun,06012015,others,IT App Global Cap Package L2,Phone,NE - Zurich,1
2015 Jun,06012015,others,IT App Global Cap Package L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT App Global Cap Package L2,Phone,NSA - Sao Paulo,1
2015 Jun,06012015,others,IT App Global Cap Package L2,Self-service,NE - Nachterstedt,3
2015 Jun,06012015,others,IT App Global Cap Package L2,Self-service,NE - Zurich,13
2015 Jun,06012015,others,IT App Global Cap Package L2,Self-service,NNA - Oswego,1
2015 Jun,06012015,others,IT App Global Cap Package L2,Self-service,NNA/Corp - Atlanta HQ,8
2015 Jun,06012015,others,IT App Global Cap Package L2,Self-service,NSA - Sao Paulo,2
2015 Jun,06012015,others,IT App Global Macro Planner Support L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT APP Global SAP C2C L2,Chat,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT APP Global SAP C2C L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT APP Global SAP P2S PE L2,Self-service,NNA - Oswego,1
2015 Jun,06012015,others,IT APP Global SAP S2P L2,Self-service,NE - Nachterstedt,1
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Phone,NE - Goettingen,2
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Phone,NE - Ohle,2
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Phone,NE - Zurich,1
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Phone,NNA - Kingston,2
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Phone,NNA - Oswego,1
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Phone,NSA - Pinda,2
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Self-service,NA - Seoul,2
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Self-service,NNA - Greensboro,1
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Self-service,NNA - Kennesaw R&T,8
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Self-service,NNA - Kingston,1
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Self-service,NNA - Oswego,3
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Self-service,NNA/Corp - Atlanta HQ,20
2015 Jun,06012015,others,IT App Global Sharepoint 2013 L2,Self-service,NSA - Sao Paulo,4
2015 Jun,06012015,others,IT App Hyperion - HFM / FDM L2,Phone,NA - Seoul,1
2015 Jun,06012015,others,IT App Hyperion - HFP / Essbase L2,Chat,NE - Zurich,1
2015 Jun,06012015,others,IT App Hyperion - Infrastructure L2,Phone,NNA - Warren,7
2015 Jun,06012015,others,IT App Hyperion - Infrastructure L2,Phone,NNA/Corp - Atlanta HQ,4
2015 Jun,06012015,others,IT App ISSG L2,Phone,NNA - Fairmont,1
2015 Jun,06012015,others,IT App ISSG L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT APP NA BS L2,Email,NA - YeongJu,6
2015 Jun,06012015,others,IT APP NA BS L2,Email,NNA - Kingston,2
2015 Jun,06012015,others,IT APP NA BS L2,Email,NNA - Novi,1
2015 Jun,06012015,others,IT APP NA BS L2,Phone,NA - Seoul,4
2015 Jun,06012015,others,IT APP NA BS L2,Phone,NA - Ulsan,7
2015 Jun,06012015,others,IT APP NA BS L2,Phone,NA - YeongJu,21
2015 Jun,06012015,others,IT APP NA BS L2,Phone,NNA - Novi,1
2015 Jun,06012015,others,IT APP NA BS L2,Phone,NNA/Corp - Atlanta HQ,2
2015 Jun,06012015,others,IT APP NA BS L2,Self-service,NA - Ulsan,7
2015 Jun,06012015,others,IT APP NA BS L2,Self-service,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT APP NA PLANT L2,Phone,NA - Seoul,1
2015 Jun,06012015,others,IT APP NA PLANT L2,Phone,NA - Ulsan,6
2015 Jun,06012015,others,IT APP NA PLANT L2,Self-service,NA - Seoul,1
2015 Jun,06012015,others,IT APP NA PLANT L2,Self-service,NA - Ulsan,1
2015 Jun,06012015,others,IT App NE Goettingen HR L2,Phone,NE - Goettingen,3
2015 Jun,06012015,others,IT App NE Goettingen HR L2,Phone,NNA/Corp - Atlanta HQ,1
2015 Jun,06012015,others,IT App NE Goettingen HR L2,Self-service,NE - Goettingen,1
2015 Jun,06012015,others,IT App NE Goettingen Infra L2,Phone,NE - Goettingen,8
2015 Jun,06012015,others,IT App NE Goettingen Infra L2,Phone,NE - Nachterstedt,1
2015 Jun,06012015,others,IT App NE Goettingen Infra L2,Self-service,NE - Goettingen,2
2015 Jun,06012015,others,IT App NE Goettingen Legacy SAP L2,Phone,NE - Goettingen,11
